应用名称,应用包名,适配前,适配后,适配效果,更新时间,
1 - 9,,,,,,
123云盘,com.mfcloudcalculate.networkdisk,部分页面适配,主页以外悬浮显示,好,2025-09-11,
,,,,,,
A,,,,,,
Activity Manager,com.activitymanager,全局固定白色,全局悬浮显示,好,2025-08-21,
AppShare,info.muge.appshare,大部分页面适配,全局悬浮显示,不成功,2025-08-21,
,,,,,,
B,,,,,,
Bilibili,tv.danmaku.bili,小米部分适配，视频页面可能变黑,主页以外悬浮显示,好,2025-09-11,
BubbleUPnP,com.bubblesoft.android.bubbleupnp,全局固定取色,主页以外悬浮显示,好,2025-08-21,
百度,com.baidu.searchbox,部分页面未适配,新增适配页面,部分无法适配,2025-09-07,
百度地图,com.baidu.BaiduMap,全局填充白色,全局悬浮显示,好,2025-08-21,
百度翻译,com.baidu.baidutranslate,全局填充白色,主页以外悬浮显示,好,2025-08-21,
百度网盘,com.baidu.netdisk,全局填充白色,主页/相册/文档以外悬浮显示,好,2025-09-11,
,,,,,,
C,,,,,,
,,,,,,
D,,,,,,
DevCheck,flar2.devcheck,全局填充白色,全局悬浮显示,未测试,2025-09-07,
DSU Sideloader,vegabobo.dsusideloader,颜色稍微浅一点点,全局悬浮显示,好,2025-08-21,
大众点评,com.dianping.v1,部分页面适配,主页以外悬浮显示，海量页面单独适配,好,2025-09-11,
,,,,,,
E,,,,,,
Edge,com.microsoft.emmx,主界面固定取色,主页以外悬浮显示,一般,2025-09-11,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,